Bezeichner,Gehäuse,Stückzahl,Bezeichnung,Mouser Part No,
"C1,C2",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,10uF/25V,81-GRM21BC81E106KE5L,
C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,91pF,581-08055A910JAT2A,
"C4,C9",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,100nF/25V,581-08053C104J,
"C5,C6,C7",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,22uF,81-GRM21BD71A226ME4L,
C8,CP_Elec_4x5.8,1,4.7uF,667-EEE-HC1V4R7R,
D1,D_0805_2012Metric,1,Red,645-599-0110-007F,
J1,BarrelJack_CUI_PJ-063AH_Horizontal,1,+12V,490-PJ-063AH,
J2,PinSocket_1x04_P2.54mm_Horizontal,1,LEDs,437-8018700420001101,
J3,PinHeader_1x03_P2.54mm_Horizontal_Mirrored,1,IRRX,200-HMTSW1037TS110RA ,
J4,PinSocket_2x20_P2.54mm_Vertical,1,RPi_GPIO,485-2223 ,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,GPIO_PWR,855-M7583-05,855-M20-9770242
JP2,PinHeader_1x02_P1.27mm_Vertical,1,WR_EN,855-M50-1920005,855-M50-3530242
L1,SRU1048,1,SRU1048-150Y,652-SRU1048-150Y,
Q1,SOT-23,1,DMG2305UX-13,621-DMG2305UX-7,
"Q2,Q3,Q4",SOIC-8_3.9x4.9mm_P1.27mm,3,IRF8721PBF-1,942-IRF8721TRPBF,
"R1,R3",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,100K,754-RR1220P-104D,
"R14,R15,R9,R11,R13",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,5,4K7,754-RR1220P-472D,
R16,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1K,754-RR1220P-102D,
R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,13K7,754-RR1220P-1372D-M,
R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10K/1%,754-RR1220P-103D,
R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,47K/1%,754-RR1220P-473D,
R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,330,754-RR1220P-331D,
R7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,470,754-RR1220P-471D,
"R8,R10,R12",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,220,754-RR1220P-221D,
U1,SOT-23-6_Handsoldering,1,TPS54202,595-TPS54202DDCR,
U2,SOT-23-6_Handsoldering,1,DMMT5401,621-DMMT5401-7-F,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,CAT24C32WI-GT3,698-CAT24C32WI-GT3,
